200 500
0 156 13365
1 35 62277
2 187 82147
3 119 36195
3 173 16372
3 124 84808
3 149 5299
3 139 21948
4 190 60719
4 171 46388
4 69 9952
4 197 45148
4 55 4778
4 123 48451
5 25 86560
5 15 954
5 33 45799
5 70 6191
6 98 57362
6 109 23710
6 186 28841
6 16 50389
6 48 11399
7 167 13254
7 104 92696
7 65 77163
7 73 30155
8 70 61058
9 67 53725
9 107 92405
9 106 31888
9 101 73422
10 38 19767
11 29 92991
11 59 31130
11 121 5069
11 74 75756
12 21 8284
12 170 89199
12 32 74798
13 147 68384
13 10 12077
13 49 13406
14 183 7566
14 108 77253
14 101 80400
15 5 98394
15 132 54458
15 32 15050
15 76 11014
15 17 65009
17 172 71645
17 166 70193
17 52 25682
17 106 4457
18 115 91752
18 53 34895
19 33 5915
19 156 60650
19 14 58316
20 152 73519
21 94 36145
21 114 89708
21 41 97988
22 170 3517
22 16 18674
22 10 76360
22 41 97046
24 133 24610
24 56 38978
24 103 26345
24 173 80926
24 181 11460
25 48 52883
25 46 15285
25 108 34799
25 192 15937
25 36 1233
26 38 2823
26 86 23561
27 129 10617
27 42 69274
27 133 40045
28 69 5127
28 175 48705
28 105 73945
28 180 27351
29 27 43351
29 187 39726
30 77 92283
31 2 15195
33 11 69433
33 191 89090
34 23 7337
36 115 13706
37 143 8255
37 5 25267
37 9 3271
39 13 55592
39 179 91037
39 76 63519
39 49 94623
39 45 63417
39 157 49511
40 159 58169
40 26 38067
41 18 40291
41 21 54901
41 67 51155
41 71 83477
42 113 35789
42 76 90209
42 119 44138
43 116 51987
43 35 85383
43 64 523
44 20 33085
44 130 840
44 7 29860
44 38 18269
45 80 13899
46 140 58223
46 35 13525
47 111 40859
47 22 38717
48 66 969
48 135 73894
50 109 3039
50 59 15544
51 104 15304
52 121 24192
52 164 75899
54 28 18902
54 85 11477
55 57 66248
55 78 60885
55 94 19460
55 113 46766
55 28 74726
56 179 45241
56 84 47017
58 11 51133
58 114 6072
59 50 79089
60 141 43589
60 9 72317
60 142 38700
61 106 85226
61 12 88654
62 24 10389
62 26 49241
62 140 65191
62 67 18971
62 144 86246
63 131 45393
63 73 21054
64 113 8150
64 8 78490
66 120 89905
66 190 10481
66 130 58613
67 62 60343
68 125 64806
68 181 33333
68 89 39796
69 5 19026
69 35 62408
70 157 23945
70 80 377
70 152 70461
70 21 69245
70 75 30384
71 31 22914
71 51 97508
72 199 621
73 70 51585
74 122 54442
75 156 55707
75 144 19073
76 2 99081
76 76 41202
78 153 70386
79 4 55306
79 92 78675
79 123 48
81 118 37439
81 70 12229
82 66 81862
84 45 61246
84 42 67911
84 155 97399
84 78 47107
84 136 17292
85 105 48235
85 173 77673
85 36 60055
85 108 88774
87 55 84809
87 33 56791
87 53 31873
87 15 99185
87 37 39767
88 25 69055
88 77 85118
88 183 54972
88 124 5150
89 16 16087
89 64 83687
89 121 37562
89 79 23558
89 74 24396
90 170 27854
90 88 23194
90 92 97898
91 2 75591
91 16 28249
91 93 56759
91 38 40951
91 56 84050
91 48 96317
91 32 39618
92 53 5998
92 59 81132
92 100 98393
92 3 47638
94 180 90074
94 161 36759
94 154 79200
94 2 42453
95 194 57584
95 105 35598
95 24 30307
95 186 74752
96 162 9345
96 117 44176
96 96 77861
98 11 98728
98 98 68320
99 186 41004
99 163 21789
99 38 97422
100 27 22724
100 48 742
101 94 48682
101 176 7521
102 59 32047
104 123 18477
104 155 2103
105 82 54831
106 73 37498
106 55 42651
106 63 70595
107 98 37063
107 164 78448
108 144 66183
108 14 86070
109 110 1605
109 88 84169
109 189 37331
109 21 77583
109 163 16757
109 196 29674
110 8 57106
110 32 50771
110 169 26338
110 24 5485
110 52 16914
111 157 85256
111 189 24894
111 109 96532
111 150 27394
112 165 84996
112 107 42226
113 75 10820
113 23 27278
113 141 10371
113 161 85664
113 147 49330
114 29 65840
114 120 79148
114 56 74076
114 85 50403
114 191 45294
115 21 38894
115 56 99601
115 93 10825
115 80 60153
116 121 13125
116 4 31071
116 118 7006
117 142 79245
117 189 50589
117 72 93400
118 76 89857
119 3 74997
119 149 85340
119 155 69442
120 85 12585
120 89 79805
123 143 57970
123 182 78316
123 13 31756
123 166 80447
124 53 51422
125 69 31442
125 131 93223
125 52 17790
126 139 22668
126 143 38089
126 74 55739
126 192 58266
127 37 72896
127 144 14976
127 188 65476
128 54 36973
128 58 21980
128 52 64317
129 21 22248
129 57 42951
129 155 37940
129 43 17674
130 48 21722
130 162 59356
132 145 28150
132 107 56883
134 30 62027
134 5 5409
134 194 77973
134 23 13311
134 160 18992
135 105 42497
135 102 916
136 192 46294
137 117 40447
137 0 59120
138 198 30971
139 29 55594
139 112 85587
139 84 14333
141 90 36015
141 167 49120
141 79 41751
141 187 56516
143 137 80906
143 98 75522
144 171 22772
144 41 50277
144 133 89878
144 188 96184
144 177 99238
145 159 19668
145 77 23093
145 67 90100
145 95 76353
145 136 59426
146 5 66295
146 140 13857
146 57 76978
146 147 61849
147 130 46200
147 88 6260
148 152 42207
149 144 42442
149 69 38213
149 176 25311
149 80 90004
150 4 26474
150 188 16165
151 1 26271
151 18 58570
152 108 44279
152 59 51665
153 4 18749
153 91 66847
153 42 33326
153 78 69014
153 138 77614
154 179 6256
154 21 81482
155 76 21867
156 150 23917
156 135 71405
156 182 91933
157 107 75461
157 199 33285
158 109 88007
158 85 89136
158 54 59749
158 65 19453
158 15 87635
159 10 33498
159 12 11191
159 45 80597
159 140 55761
160 89 11871
160 9 23229
161 96 12883
161 118 69062
161 0 79439
161 174 97053
162 97 14479
162 68 10580
162 45 68614
162 43 72641
163 182 18786
163 108 91995
163 10 70487
164 181 36938
165 142 6028
165 184 61495
165 66 63496
165 187 81744
166 58 93465
167 95 73410
167 13 97338
167 174 54818
168 7 38686
168 158 71553
169 47 70867
169 63 88430
169 103 30000
170 17 63531
170 144 5541
170 83 94803
171 108 20044
172 141 33210
172 2 88064
172 172 54469
173 117 1457
174 131 17594
174 13 23411
174 152 66486
175 45 39404
175 87 49934
176 24 77390
177 116 6759
177 88 32669
177 198 23599
178 29 88427
178 92 30649
178 176 79743
178 177 48716
179 25 55581
179 35 81824
179 186 75178
180 96 61084
180 166 58569
180 178 57435
181 105 63040
181 170 74362
181 10 95183
182 150 68411
183 67 79088
183 42 19758
183 91 56992
184 195 57707
184 44 15878
184 12 6914
184 97 30582
185 187 67799
185 167 58609
186 130 61704
186 197 25275
186 101 45731
186 129 87300
186 54 23998
187 60 56718
187 54 17977
188 19 9538
188 144 72750
189 197 21734
189 119 68439
190 31 31654
191 185 66064
191 11 48912
191 90 24711
193 173 61680
193 161 36341
193 91 32213
194 96 12972
194 194 83508
194 138 33350
194 41 65250
195 126 56476
195 87 62736
195 31 57377
195 169 66016
196 77 28102
196 197 57430
196 71 70542
196 48 69155
196 69 36678
196 135 50040
197 85 48649
197 174 37953
198 189 25806
198 66 44252
198 163 55246
198 119 9832
199 58 36621
