100 200
0 45 57182
1 85 19794
1 48 49973
3 56 7916
3 74 13143
4 22 88066
5 66 55989
6 11 85255
6 78 63766
7 50 4299
8 18 82284
8 99 96038
8 47 41264
8 42 37526
9 29 18169
9 71 36186
11 14 15999
12 23 66192
12 73 27983
13 20 2743
13 29 90710
13 17 22905
13 79 28664
14 54 58926
14 11 61730
15 82 53266
17 20 24559
17 89 70087
17 90 41117
17 76 4434
18 77 39752
20 60 23719
20 30 43832
20 64 70999
21 81 7564
21 49 71642
21 29 64612
21 61 29251
22 40 76441
22 13 61779
22 6 73241
22 76 41325
22 5 44785
23 69 66537
23 44 43522
23 92 60884
23 49 76525
23 31 45405
24 96 12937
26 66 45487
26 48 14364
28 38 14551
29 51 46457
29 18 64661
29 32 56500
30 20 87580
30 38 20058
30 90 9960
30 52 59101
30 17 86424
31 2 99861
31 91 76044
32 1 39824
32 70 36605
32 50 8652
32 73 20265
34 13 35049
34 8 22198
34 41 31109
35 5 16869
35 17 72325
36 6 77495
36 46 57098
36 61 60831
37 87 76062
37 28 58114
37 3 98326
38 29 47308
38 89 11527
38 37 50181
38 78 16692
38 57 1470
39 60 83899
40 35 64108
41 34 33090
42 98 33482
42 20 14686
42 55 43128
43 6 91590
43 16 41723
44 54 75979
46 49 32667
46 31 70599
47 26 56011
48 70 89281
48 2 94249
48 17 5128
49 37 30318
49 50 61537
50 5 99523
50 95 91023
50 42 82924
51 81 64613
52 7 1837
52 49 52617
52 44 31889
53 86 23897
53 91 15883
55 98 23172
55 47 96970
55 54 85928
56 91 75130
57 34 38779
58 80 35870
59 8 52404
59 69 37967
59 25 19143
60 25 92412
60 36 56115
60 40 88046
61 58 29076
62 69 68587
62 61 40221
63 67 8371
64 23 66764
64 10 33303
64 44 53248
64 5 15629
65 77 20446
66 70 87251
67 95 99117
67 39 51548
68 19 34673
68 24 21806
68 48 97652
70 85 35546
70 10 99429
70 15 26199
70 78 68084
71 13 29278
72 0 20788
72 54 89321
73 82 59001
74 7 13450
75 10 32023
75 25 55893
77 38 44769
78 20 14780
78 69 77977
78 72 4456
79 56 87074
79 75 69840
79 95 44281
81 72 32831
81 19 76499
81 35 58343
82 76 62020
82 36 19464
82 32 39002
82 37 88429
83 79 27090
84 82 33329
84 27 77130
84 19 21553
84 80 36974
85 30 84596
85 86 20539
85 93 50194
85 67 97013
86 60 97149
86 53 313
86 32 9507
87 65 35708
89 36 62436
90 52 71679
90 32 36370
91 69 91813
91 34 41221
92 77 14693
92 64 26790
93 40 72649
93 33 67660
93 87 67572
93 63 17315
95 87 66144
95 52 46181
95 70 92978
95 6 51168
95 35 30883
96 39 15968
96 52 99602
96 20 23564
96 58 47080
97 67 47310
97 76 56764
97 26 87338
97 31 51559
98 40 9905
98 20 89323
98 50 10518
